,Topic,Time Queried,Title,Video IDs,Published At,Duration,View Count,Like Count,Dislike Count
132,Data Structures,2020-08-21 22:07:17.037310,Data Structure Syllabus marks distribution blue print in Gate Net university exam in Hindi,X9r-J_-soUo,2018-09-18T12:30:00Z,PT13M18S,69959,1761,19
133,Data Structures,2020-08-21 22:07:17.037316,Data structures: Binary Search Tree,pYT9F8_LFTM,2014-01-25T04:55:55Z,PT19M28S,949653,6499,204
134,Data Structures,2020-08-21 22:07:17.037322,Push and Pop Operations in Stack in Data Structure Lec-14| Hindi,e71YQnnPMyQ,2019-04-02T13:00:57Z,PT9M1S,31201,786,29
135,Data Structures,2020-08-21 22:07:17.037328,QUEUE IMPLEMENTATION USING LINKED LIST - DATA STRUCTURES,QfRoQMSJ664,2019-06-14T10:08:03Z,PT21M26S,19837,362,16
136,Data Structures,2020-08-21 22:07:17.037334,Data Structures | Collection Framework in Java | Lecture 36,sRWn1D4JEDs,2020-01-12T06:38:40Z,PT18M46S,34676,1066,12
137,Data Structures,2020-08-21 22:07:17.037340,Dynamic Array HackerRank Solution | Data Structures | Arrays,N0lSGQrya6s,2019-06-16T09:32:37Z,PT11M48S,14806,135,21
138,Data Structures,2020-08-21 22:07:17.037346,Data Structure Interview Questions and Answers - For Freshers and Experienced Candidates,El6D8s8rXtI,2019-08-30T08:42:29Z,PT11M45S,36246,768,22
139,Data Structures,2020-08-21 22:07:17.037352,Data Structures Tutorial In Python #5 - Collision Handling In Hash Table,54iv1si4YCM,2020-03-22T00:15:11Z,PT18M21S,6540,179,1
140,Data Structures,2020-08-21 22:07:17.037358,Inorder Traversal in BST | Data Structures Tutorial | Mr. Srinivas,dDjQphXcISc,2017-10-02T12:54:06Z,PT8M13S,62473,-1,-1
141,Data Structures,2020-08-21 22:07:17.037364,CX-Programmer - Using Data Structures,F8VjHny6D1Q,2011-04-01T17:16:58Z,PT3M44S,42594,91,3
142,Data Structures,2020-08-21 22:07:17.037369,6.5 Prim&#39;s Algorithm for Minimum Spanning Tree | Data structures,ZtZaR7EcI5Y,2019-01-25T04:52:01Z,PT10M22S,152884,2555,85
143,Data Structures,2020-08-21 22:07:17.037376,7.5 Selection Sort Algorithm | Data Structure,9oWd4VJOwr0,2019-06-10T07:02:23Z,PT17M49S,168236,2669,105
144,Data Structures,2020-08-21 22:07:17.037381,Bubble Sort Algorithm | Data Structures | by Mr. Srinivas,8Ug-a3IhUaE,2016-10-08T04:09:56Z,PT13M39S,224071,2623,80
145,Data Structures,2020-08-21 22:07:17.037387,Adjacency list | Example | Graph representation | Data Structures | Lec-49 | Bhanu Priya,kzbvvBY8qQg,2018-08-09T02:34:06Z,PT4M21S,42430,449,31
146,Data Structures,2020-08-21 22:07:17.037393,Postfix to Infix Conversion | Examples | Data Structures | Lec-17 | Bhanu Priya,vS_lYbc6BUk,2018-07-20T16:53:27Z,PT6M9S,146801,1323,172
147,Data Structures,2020-08-21 22:07:17.037400,Data structures: Introduction to graphs,gXgEDyodOJU,2014-09-02T11:25:00Z,PT16M43S,660292,6774,140
148,Data Structures,2020-08-21 22:07:17.037410,Deleted all playlists of Data Structure,ltIDoD05iV4,2020-04-11T15:05:59Z,PT4M19S,54301,1326,55
149,Data Structures,2020-08-21 22:07:17.037417,Data Structures Tutorial in Python #3 - Arrays,gDqQf4Ekr2A,2020-03-12T12:54:31Z,PT14M15S,14482,376,8
