,Topic,Time Queried,Title,Video IDs,Published At,Duration,View Count,Like Count,Dislike Count
117,Data Structures,2020-08-20 16:23:27.417843,Arrays vs Linked Lists - Data Structures and Algorithms,dMy2hq9OUMc,2020-05-24T17:45:01Z,PT15M59S,3132,127,2
118,Data Structures,2020-08-20 16:23:27.417847,Lecture - 1 Introduction to Data Structures and Algorithms,zWg7U0OEAoE,2008-09-24T08:46:22Z,PT53M31S,1838183,5187,242
119,Data Structures,2020-08-20 16:23:27.417852,Beginner To Coding Expert Guide: Data Structures &amp; Algorithms,GEN9sZxrvKA,2018-05-24T16:39:31Z,PT13M20S,7387,237,7
120,Data Structures,2020-08-20 16:23:27.417856,2.4 Linked List implementation in C/C++ | creation and display | data structures,6wXZ_m3SbEs,2019-08-13T11:09:22Z,PT29M1S,178735,3028,93
121,Data Structures,2020-08-20 16:23:27.417860,Infix to Postfix Conversions | Data Structures Tutorial | Mr. Srinivas,p4pPawXDh0U,2017-10-04T14:24:08Z,PT11M25S,66623,-1,-1
122,Data Structures,2020-08-20 16:23:27.417862,CIRCULAR LINKED LIST (CREATE AND DISPLAY) - DATA STRUCTURES,2bt8hlNhog4,2019-05-25T09:30:01Z,PT19M42S,22737,398,9
123,Data Structures,2020-08-20 16:23:27.417865,3.2 Implementation of stack using Array | data structure,VmsTAVpz0xo,2019-09-08T12:08:18Z,PT17M27S,89310,1570,31
124,Data Structures,2020-08-20 16:23:27.417867,Learn from a Googler: 4 Data Structure &amp; Algorithm - 1 (in Bengali (বাংলা)),GrueBnqMIsU,2020-05-31T10:36:16Z,PT47M44S,16556,881,13
125,Data Structures,2020-08-20 16:23:27.417869,7.5 Selection Sort Algorithm | Data Structure,9oWd4VJOwr0,2019-06-10T07:02:23Z,PT17M49S,167585,2655,105
126,Data Structures,2020-08-20 16:23:27.417876,"Data Structures in Java | Stack, Queue, LinkedList, Tree in Data Structures | Edureka",j1RjRwQPvzY,2019-09-23T12:05:59Z,PT20M5S,21760,367,42
127,Data Structures,2020-08-20 16:23:27.417878,Data Structures Applications | Learn Data Structures in Tamil | Mothertong Tamil,SCaH7tehxN0,2020-04-17T10:33:00Z,PT4M43S,1433,88,0
128,Data Structures,2020-08-20 16:23:27.417881,CS50 2018 - Lecture 4 - Data Structures,ed2lnJNf7HU,2018-10-09T01:46:51Z,PT2H3M28S,95004,-1,-1
129,Data Structures,2020-08-20 16:23:27.417884,Data Structure Interview Questions and Answers - For Freshers and Experienced Candidates,El6D8s8rXtI,2019-08-30T08:42:29Z,PT11M45S,36021,758,22
130,Data Structures,2020-08-20 16:23:27.417887,What is Queue Data Structure ? | Queue Operations | Data Structure &amp; Algorithms (DSA) | Part - 1,sDO9bPaBg6A,2019-03-24T15:00:03Z,PT26M38S,23627,445,9
131,Data Structures,2020-08-20 16:23:27.417889,Circular Linked List and Operations in Data Structures (With Notes),41lXYJID3OQ,2020-08-18T10:23:35Z,PT16M41S,4481,423,7
